序号,优抚类别,优抚住院医疗补助金额（人/元/年）
1,残疾退役军人 /一级 / 因战,0
2,残疾退役军人 /一级 / 因公,0
3,残疾退役军人 /一级 / 因病,0
4,残疾退役军人 /二级 / 因战,0
5,残疾退役军人 /二级 / 因公,0
6,残疾退役军人 /二级 / 因病,0
7,残疾退役军人 /三级 / 因战,0
8,残疾退役军人 /三级 / 因公,0
9,残疾退役军人 /三级 / 因病,0
10,残疾退役军人 /四级 / 因战,0
11,残疾退役军人 /四级 / 因公,0
12,残疾退役军人 /四级 / 因病,0
13,残疾退役军人 /五级 / 因战,0
14,残疾退役军人 /五级 / 因公,0
15,残疾退役军人 /五级 / 因病,0
16,残疾退役军人 / 五级 / 患精神病,0
17,残疾退役军人 /六级 / 因战,0
18,残疾退役军人 /六级 / 因公,0
19,残疾退役军人 /六级 / 因病,0
20,残疾退役军人 / 六级 / 患精神病,0
21,残疾退役军人 /七级 / 因战,4000
22,残疾退役军人 /七级 / 因公,4000
23,残疾退役军人 /八级 / 因战,4000
24,残疾退役军人 /八级 / 因公,4000
25,残疾退役军人 /九级 / 因战,4000
26,残疾退役军人 /九级 / 因公,4000
27,残疾退役军人 /十级 / 因战,4000
28,残疾退役军人 /十级 / 因公,4000
29,在乡复员军人 / 在乡复员军人,4000
30,带病回乡退役军人,3000
31,三属 / 烈士遗属 / 解放后,3000
32,老年烈士子女 / 年满60周岁烈士子女 / 解放后烈属,3000
33,三属 / 因公牺牲军人遗属,3000
34,三属 / 病故军人遗属,3000
35,三属 / 烈士遗属 / 解放后(仅享受地方优待),0
36,参试退役军人（铀矿开采人员）,2000
37,参战退役军人,2000
38,年满60周岁农村籍退役士兵,2000
39,伤残人民警察 / 一级 / 因公,0
40,伤残人民警察 / 二级 / 因公,0
41,伤残人民警察 / 三级 / 因公,0
42,伤残人民警察 / 四级 / 因公,0
43,伤残人民警察 / 五级 / 因公,0
44,伤残人民警察 / 六级 / 因公,0
45,伤残人民警察 / 七级 / 因公,0
46,伤残人民警察 / 八级 / 因公,0
47,伤残人民警察 / 九级 / 因公,0
48,伤残人民警察 / 十级 / 因公,0
49,因公伤残人员 / 一级 / 因公,0
50,因公伤残人员 / 二级 / 因公,0
51,因公伤残人员 / 三级 / 因公,0
52,因公伤残人员 / 四级 / 因公,0
53,因公伤残人员 / 五级 / 因公,0
54,因公伤残人员 / 六级 / 因公,0
55,因公伤残人员 / 七级 / 因公,0
56,因公伤残人员 / 八级 / 因公,0
57,因公伤残人员 / 九级 / 因公,0
58,因公伤残人员 / 十级 / 因公,0
